combo_id,histogram_matching,bilateral_filter,edge_detection_method,superpixel_algorithm,roi_enabled,n_superpixels,compactness,matches_count,inliers_count,inlier_ratio_pct,stop_layer,servoing_error_norm,superpixel_time_sec,total_time_sec
config_001,False,True,octhed,boruvka,False,10,1.0,18,5,27.78,3,1544.992065,0.693,1.6875
config_002,False,True,octhed,boruvka,False,10,5.0,18,5,27.78,3,1544.992065,0.6658,1.1575
config_003,False,True,octhed,boruvka,False,10,10.0,18,5,27.78,3,1544.992065,0.6729,1.1657
config_004,False,True,octhed,boruvka,False,10,20.0,18,5,27.78,3,1544.992065,0.7222,1.2199
config_005,False,True,octhed,boruvka,False,10,50.0,18,5,27.78,3,1544.992065,0.6724,1.168
config_006,False,True,octhed,boruvka,False,25,1.0,53,11,20.75,3,37.715611,0.6971,1.1938
config_007,False,True,octhed,boruvka,False,25,5.0,53,11,20.75,3,37.715611,0.6365,1.136
config_008,False,True,octhed,boruvka,False,25,10.0,53,11,20.75,3,37.715611,0.6367,1.1258
config_009,False,True,octhed,boruvka,False,25,20.0,53,11,20.75,3,37.715611,0.6609,1.1418
config_010,False,True,octhed,boruvka,False,25,50.0,53,11,20.75,3,37.715611,0.6757,1.1598
config_011,False,True,octhed,boruvka,False,50,1.0,64,16,25.0,3,32.700954,0.6351,1.1264
config_012,False,True,octhed,boruvka,False,50,5.0,64,16,25.0,3,32.700954,0.6506,1.129
config_013,False,True,octhed,boruvka,False,50,10.0,64,16,25.0,3,32.700954,0.6347,1.1202
config_014,False,True,octhed,boruvka,False,50,20.0,64,16,25.0,3,32.700954,0.6304,1.1179
config_015,False,True,octhed,boruvka,False,50,50.0,64,16,25.0,3,32.700954,0.6306,1.1131
config_016,False,True,octhed,boruvka,False,100,1.0,157,22,14.01,6,30.202707,0.6447,1.1266
config_017,False,True,octhed,boruvka,False,100,5.0,157,22,14.01,6,30.202707,0.6305,1.1188
config_018,False,True,octhed,boruvka,False,100,10.0,157,22,14.01,6,30.202707,0.6403,1.1248
config_019,False,True,octhed,boruvka,False,100,20.0,157,22,14.01,6,30.202707,0.6413,1.1254
config_020,False,True,octhed,boruvka,False,100,50.0,157,22,14.01,6,30.202707,0.6402,1.1233
config_021,False,True,octhed,boruvka,False,200,1.0,183,38,20.77,6,29.843979,0.6312,1.1113
config_022,False,True,octhed,boruvka,False,200,5.0,183,38,20.77,6,29.843979,0.6448,1.1279
config_023,False,True,octhed,boruvka,False,200,10.0,183,38,20.77,6,29.843979,0.6141,1.1004
config_024,False,True,octhed,boruvka,False,200,20.0,183,38,20.77,6,29.843979,0.6272,1.1112
config_025,False,True,octhed,boruvka,False,200,50.0,183,38,20.77,6,29.843979,0.6232,1.1056
config_026,False,True,octhed,boruvka,False,300,1.0,163,43,26.38,6,31.728498,0.6643,1.1449
config_027,False,True,octhed,boruvka,False,300,5.0,163,43,26.38,6,31.728498,0.6279,1.109
config_028,False,True,octhed,boruvka,False,300,10.0,163,43,26.38,6,31.728498,0.6356,1.1214
config_029,False,True,octhed,boruvka,False,300,20.0,163,43,26.38,6,31.728498,0.6891,1.1756
config_030,False,True,octhed,boruvka,False,300,50.0,163,43,26.38,6,31.728498,0.6339,1.1166
